center,cluster,cluster_member,entity_type,number_of_clusters,number_of_members,text_value
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,1,"1    PERSON
Name: entity_type, dtype: object",16,9,"1     
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,3,"3    CARDINAL
Name: entity_type, dtype: object",16,9,"3    2008-CA-15000\n\nDIVISION
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,10,"10    CARDINAL
Name: entity_type, dtype: object",16,9,"10    264
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,11,"11    CARDINAL
Name: entity_type, dtype: object",16,9,"11    509
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,31,"31    CARDINAL
Name: entity_type, dtype: object",16,9,"31    2007-CA-11175-IXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,41,"41    CARDINAL
Name: entity_type, dtype: object",16,9,"41    2007-CA-11175-AXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,65,"65    DATE
Name: entity_type, dtype: object",16,9,"65    2011
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,76,"76    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"76    234-7754
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,78,"78    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"78    234 7754
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,0,"0    ORG
Name: entity_type, dtype: object",16,36,"0    FLORIDA CIVIL DIVISION
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,2,"2    WORK_OF_ART
Name: entity_type, dtype: object",16,36,"2    ENOLE PROGENY\n\nTOBACCO LITIGATION        Case
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,4,"4    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"4    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,5,"5    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"5    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,6,"6    ORG
Name: entity_type, dtype: object",16,36,"6    Cases,\n\nParticularly
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,7,"7    PERSON
Name: entity_type, dtype: object",16,36,"7    Cooper Stansbury\n\nRobert Sury
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,8,"8    WORK_OF_ART
Name: entity_type, dtype: object",16,36,"8    Personal        VOLUME II
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,9,"9    ORG
Name: entity_type, dtype: object",16,36,"9    the       Pages
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,12,"12    PERSON
Name: entity_type, dtype: object",16,36,"12    William Sury
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,13,"13    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"13    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,14,"14    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"14    rl
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,15,"15    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"15    r 
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,16,"16    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"16    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,17,"17    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"17    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,18,"18    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"18    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,19,"19    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"19    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,20,"20    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"20    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,21,"21    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"21    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,22,"22    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"22    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,23,"23    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"23    rl
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,24,"24    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"24    r 
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,25,"25    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"25    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,26,"26    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"26    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,27,"27    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"27    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,28,"28    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"28    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,29,"29    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"29    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,30,"30    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"30    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,32,"32    PERSON
Name: entity_type, dtype: object",16,36,"32    Patricia Bowman
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,33,"33    ORG
Name: entity_type, dtype: object",16,36,"33    Personal Representative of the Estate
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,34,"34    PERSON
Name: entity_type, dtype: object",16,36,"34    Michael Bowman
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,35,"35    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"35    ri
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,36,"36    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"36    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,37,"37    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"37    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,38,"38    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"38    ri
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,39,"39    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"39    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,40,"40    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"40    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,42,"42    GPE
Name: entity_type, dtype: object",16,102,"42    Salem
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,43,"43    GPE
Name: entity_type, dtype: object",16,102,"43    North Carolina
Name: text_value, dtype: object"
