center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[15.  7. 72.  1. 14. 52. 23. 60.],0,0,0,['CARDINAL'],11,32,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['111\\n\\n\\n\\nIN']
[15.  7. 72.  1. 14. 52. 23. 60.],0,1,1,['WORK_OF_ART'],11,32,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['THE CIRCUIT COURT OF THE FOURTH JUDICIAL']
[15.  7. 72.  1. 14. 52. 23. 60.],0,2,1,['PERSON'],11,32,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['CIRCUIT\\n\\n\\n\\nIN']
[15.  7. 72.  1. 14. 52. 23. 60.],0,3,2,['ORG'],11,32,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['DUVAL COUNTY']
[15.  7. 72.  1. 14. 52. 23. 60.],0,4,2,['PERSON'],11,32,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['FLORIDA 2\\n\\n\\n\\nIN RE']
[15.  7. 72.  1. 14. 52. 23. 60.],0,5,2,['ORG'],11,32,['TOBACCO LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION                                DIVISION:  '],[24],['LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION']
[15.  7. 72.  1. 14. 52. 23. 60.],0,6,3,['CARDINAL'],11,32,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['1118']
[15.  7. 72.  1. 14. 52. 23. 60.],0,7,4,['PERSON'],11,32,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['LINDA PRENTICE']
[15.  7. 72.  1. 14. 52. 23. 60.],0,8,4,['PHONE_NUMBER'],11,32,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['118 1211']
[15.  7. 72.  1. 14. 52. 23. 60.],0,9,4,['ORG'],11,32,['as Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase'],[44],['Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase']
