center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,sentence_position,text_value
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,1,1,"1    PERSON
Name: entity_type, dtype: object",16,9,"1    12
Name: sentence_position, dtype: int64","1     
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,3,1,"3    CARDINAL
Name: entity_type, dtype: object",16,9,"3    25
Name: sentence_position, dtype: int64","3    2008-CA-15000\n\nDIVISION
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,10,2,"10    CARDINAL
Name: entity_type, dtype: object",16,9,"10    33
Name: sentence_position, dtype: int64","10    264
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,11,3,"11    CARDINAL
Name: entity_type, dtype: object",16,9,"11    33
Name: sentence_position, dtype: int64","11    509
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,31,4,"31    CARDINAL
Name: entity_type, dtype: object",16,9,"31    64
Name: sentence_position, dtype: int64","31    2007-CA-11175-IXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,41,5,"41    CARDINAL
Name: entity_type, dtype: object",16,9,"41    82
Name: sentence_position, dtype: int64","41    2007-CA-11175-AXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,65,6,"65    DATE
Name: entity_type, dtype: object",16,9,"65    142
Name: sentence_position, dtype: int64","65    2011
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,76,7,"76    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"76    142
Name: sentence_position, dtype: int64","76    234-7754
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,78,7,"78    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"78    142
Name: sentence_position, dtype: int64","78    234 7754
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,0,1,"0    ORG
Name: entity_type, dtype: object",16,36,"0    12
Name: sentence_position, dtype: int64","0    FLORIDA CIVIL DIVISION
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,2,1,"2    WORK_OF_ART
Name: entity_type, dtype: object",16,36,"2    19
Name: sentence_position, dtype: int64","2    ENOLE PROGENY\n\nTOBACCO LITIGATION        Case
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,4,2,"4    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"4    25
Name: sentence_position, dtype: int64","4    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,5,3,"5    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"5    25
Name: sentence_position, dtype: int64","5    rt
Name: text_value, dtype: object"
