center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[  0.   3.  12.  11. 321. 247.  55. 352.],0,0,1,['ORG'],1962,1,"['FOR PALM BEACH COUNTY, FLORIDA\\n\\nCASE']",[12],['PALM BEACH COUNTY']
[ 2.  2. 22.  1. 43. 71. 20. 90.],1,1,1,['CARDINAL'],1962,2,['50 2007'],[22],['50']
[ 2.  2. 22.  1. 43. 71. 20. 90.],1,2,2,['DATE'],1962,2,['50 2007'],[22],['2007']
[  3.   2.  31.  13. 501. 617.  39. 371.],2,3,1,['PERSON'],1962,1,"['REYNOLDS TOBACCO COMPANY, et al., Defendants.\\n\\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\\n\\nDATE']",[31],['REYNOLDS']
[  5.   2.  31.  14. 501. 617.  39. 128.],3,4,1,['CARDINAL'],1962,2,"['REYNOLDS TOBACCO COMPANY, et al., Defendants.\\n\\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\\n\\nDATE']",[31],['40']
[  5.   2.  31.  14. 501. 617.  39. 128.],3,5,1,['PHONE_NUMBER'],1962,2,"['REYNOLDS TOBACCO COMPANY, et al., Defendants.\\n\\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\\n\\nDATE']",[31],['403 5538']
[  6.   3.  48.   0.  53. 712. 107. 196.],4,6,1,['CARDINAL'],1962,1,"['TAKEN\\n\\nTIME:\\n\\nPLACE:\\n\\nBEFORE:\\n\\nNovember 9, 2 015\\n\\n(9:45)']",[48],['9']
[  7.   3.  48.   0.  53. 712. 107.  83.],5,7,1,['CARDINAL'],1962,2,"['TAKEN\\n\\nTIME:\\n\\nPLACE:\\n\\nBEFORE:\\n\\nNovember 9, 2 015\\n\\n(9:45)']",[48],['2']
[  7.   3.  48.   0.  53. 712. 107.  83.],5,8,1,['PRODUCT'],1962,2,"['TAKEN\\n\\nTIME:\\n\\nPLACE:\\n\\nBEFORE:\\n\\nNovember 9, 2 015\\n\\n(9:45)']",[48],['015\\n\\n(9:45']
[ 10.  25.  54.   4. 823.  83. 171. 774.],6,10,0,['GPE'],1962,1,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['p.m.\\n\\nPalm Beach County']
[ 11.  25.  54.   0. 823.  83. 171.  92.],7,11,1,['CARDINAL'],1962,1,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['205']
[ 12.  25.  54.   3. 823.  83. 171. 337.],8,12,1,['FAC'],1962,2,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['North Dixie Highway West Palm Beach']
[ 12.  25.  54.   3. 823.  83. 171. 337.],8,16,2,['ORG'],1962,2,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['RMR']
[ 15.  25.  54.  13. 823.  83. 171. 542.],9,15,0,['PERSON'],1962,1,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['by:\\n\\nJanette P. Moreno']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,9,1,['TIME'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['9:57 a.m. - 12:00']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,13,1,['PERSON'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['Florida\\n\\nEdward L. Artau']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,14,2,['ORG'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['Circuit']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,17,3,['ORG'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['CRR']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,18,4,['ORG'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['CLR']
[ 17.  25.  54.  11. 823.  83. 171. 222.],10,19,5,['ORG'],1962,6,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['CCP']
[ 20.  20. 113.  11. 315. 443.  69. 299.],11,20,0,['ORG'],1962,4,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Inc.\\n\\n1218 S.E. 3rd']
[ 20.  20. 113.  11. 315. 443.  69. 299.],11,21,1,['GPE'],1962,4,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Lauderdale']
[ 20.  20. 113.  11. 315. 443.  69. 299.],11,22,2,['GPE'],1962,4,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Florida']
[ 20.  20. 113.  11. 315. 443.  69. 299.],11,24,3,['PERSON'],1962,4,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Janette Moreno']
[ 25.  20. 113.  16. 315. 443.  69.  37.],12,25,0,['QUANTITY'],1962,2,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3']
[ 25.  20. 113.  16. 315. 443.  69.  37.],12,31,1,['INTERNATIONAL_PHONE_NUMBER'],1962,2,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['101-102-894-2796']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,23,0,['CARDINAL'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['33316\\n\\n954.525.2221\\n\\nElectronically']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,26,0,['CARDINAL'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['4\\n\\n5']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,27,1,['PHONE_NUMBER'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['525.2221']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,28,2,['PHONE_NUMBER'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['894-2796']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,29,2,['PHONE_NUMBER'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['525 2221']
[ 27.  20. 113.  14. 315. 443.  69. 142.],13,30,2,['PHONE_NUMBER'],1962,6,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['894 2796']
[ 32.   2. 139.  17. 821.  80.  25. 184.],14,32,1,['TIME'],1962,1,['6 7'],[139],['6 7']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,33,1,['CARDINAL'],1962,8,['13'],[146],['13']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,35,2,['CARDINAL'],1962,8,['16'],[149],['16']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,36,3,['CARDINAL'],1962,8,['18 19 20 21 22'],[151],['18']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,37,4,['CARDINAL'],1962,8,['18 19 20 21 22'],[151],['19']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,38,5,['CARDINAL'],1962,8,['18 19 20 21 22'],[151],['20']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,39,6,['CARDINAL'],1962,8,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['23']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,40,7,['CARDINAL'],1962,8,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['24']
[ 38.   3. 151.   0.  17.  53.  16.  86.],15,41,7,['CARDINAL'],1962,8,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['25\\n\\nPage 5404\\n\\nOn']
[ 43.   9. 156.  11.  29.  62.  18. 350.],16,42,0,['ORG'],1962,2,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['Plaintiff:\\n\\nSCHLESINGER LAW OFFICES']
[ 43.   9. 156.  11.  29.  62.  18. 350.],16,43,1,['ORG'],1962,2,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['P.A. 1212']
[ 44.   4. 168.   4. 187. 706.  76. 267.],17,44,1,['GPE'],1962,1,"['Southeast Third Avenue Fort Lauderdale, Florida  33316']",[168],['Fort Lauderdale']
[ 45.   4. 168.   4. 187. 706.  76. 264.],18,45,1,['GPE'],1962,1,"['Southeast Third Avenue Fort Lauderdale, Florida  33316']",[168],['Florida']
[ 46.   4. 168.   1. 187. 706.  76. 119.],19,46,1,['DATE'],1962,1,"['Southeast Third Avenue Fort Lauderdale, Florida  33316']",[168],['33316']
[ 49.  24. 177.  13. 511. 151.  33. 249.],20,48,0,['PERSON'],1962,5,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['ESQUIRE\\n\\nSCOTT P. SCHLESINGER']
[ 49.  24. 177.  13. 511. 151.  33. 249.],20,49,1,['PERSON'],1962,5,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['ESQUIRE JONATHAN R. GDANSKI']
[ 49.  24. 177.  13. 511. 151.  33. 249.],20,50,2,['GPE'],1962,5,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['ESQUIRE BRITTANY']
