center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,0,0,['CARDINAL'],40,6,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['111\\n\\n\\n\\nIN']
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,1,1,['WORK_OF_ART'],40,6,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['THE CIRCUIT COURT OF THE FOURTH JUDICIAL']
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,2,1,['PERSON'],40,6,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['CIRCUIT\\n\\n\\n\\nIN']
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,3,2,['ORG'],40,6,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['DUVAL COUNTY']
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,4,2,['PERSON'],40,6,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['FLORIDA 2\\n\\n\\n\\nIN RE']
[ 4. 14.  0. 10.  1. 73.  4. 57.],0,5,2,['ORG'],40,6,['TOBACCO LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION                                DIVISION:  '],[24],['LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION']
[14.  9. 62.  0.  3.  2.  7. 17.],1,6,1,['CARDINAL'],40,9,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['1118']
[14.  9. 62.  0.  3.  2.  7. 17.],1,7,2,['PERSON'],40,9,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['LINDA PRENTICE']
[14.  9. 62.  0.  3.  2.  7. 17.],1,8,2,['PHONE_NUMBER'],40,9,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['118 1211']
[14.  9. 62.  0.  3.  2.  7. 17.],1,11,3,['CARDINAL'],40,9,['16-2007-CA-011551-DXXX-MA\\n\\n\\n\\n16'],[57],['16-2007-CA-011551-DXXX']
[14.  9. 62.  0.  3.  2.  7. 17.],1,12,4,['CARDINAL'],40,9,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['17']
[14.  9. 62.  0.  3.  2.  7. 17.],1,13,5,['DATE'],40,9,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['18 19 20 21 22 23 24']
[14.  9. 62.  0.  3.  2.  7. 17.],1,14,5,['CARDINAL'],40,9,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['25\\n\\n\\n\\nTRIAL']
[14.  9. 62.  0.  3.  2.  7. 17.],1,21,6,['GPE'],40,9,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],['Duval County']
[14.  9. 62.  0.  3.  2.  7. 17.],1,22,6,['CARDINAL'],40,9,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],['610\\n\\n\\n\\n501']
[17.  7. 72. 14. 14. 52. 23. 32.],2,10,1,['ORG'],40,5,['No:   '],[54],['  ']
[17.  7. 72. 14. 14. 52. 23. 32.],2,15,2,['DATE'],40,5,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['Friday']
[17.  7. 72. 14. 14. 52. 23. 32.],2,17,3,['TIME'],40,5,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['8:15 a.m.']
[17.  7. 72. 14. 14. 52. 23. 32.],2,18,4,['CARDINAL'],40,5,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['10:40']
[17.  7. 72. 14. 14. 52. 23. 32.],2,20,5,['PERSON'],40,5,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['     ']
[26. 11. 99.  9. 28. 66. 55. 93.],3,9,0,['ORG'],40,9,['as Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase'],[44],['Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase']
[26. 11. 99.  9. 28. 66. 55. 93.],3,16,1,['DATE'],40,9,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['September 16']
[26. 11. 99.  9. 28. 66. 55. 93.],3,19,1,['ORG'],40,9,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['a.m.\\n\\n\\n\\nLOCATION']
[26. 11. 99.  9. 28. 66. 55. 93.],3,23,1,['GPE'],40,9,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['West Adams Street\\n\\n\\n\\nJacksonville']
[26. 11. 99.  9. 28. 66. 55. 93.],3,24,1,['PERSON'],40,9,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Florida 32202\\n\\n\\n\\nAs']
[26. 11. 99.  9. 28. 66. 55. 93.],3,25,2,['PERSON'],40,9,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Terry T. Hurley']
[26. 11. 99.  9. 28. 66. 55. 93.],3,26,3,['ORG'],40,9,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['RPR']
