center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,1,1,['PERSON'],16,9,['FLORIDA CIVIL DIVISION IN RE:  '],[12],[' ']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,3,1,['CARDINAL'],16,9,['No.: 2008-CA-15000\\n\\nDIVISION:  Tobacco Pertains'],[25],['2008-CA-15000\\n\\nDIVISION']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,10,2,['CARDINAL'],16,9,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['264']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,11,3,['CARDINAL'],16,9,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['509']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,31,4,['CARDINAL'],16,9,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['2007-CA-11175-IXXX']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,41,5,['CARDINAL'],16,9,['2007-CA-11175-AXXX'],[82],['2007-CA-11175-AXXX']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,65,6,['DATE'],16,9,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['2011']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,76,7,['PHONE_NUMBER'],16,9,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['234-7754']
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,78,7,['PHONE_NUMBER'],16,9,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['234 7754']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,0,1,['ORG'],16,36,['FLORIDA CIVIL DIVISION IN RE:  '],[12],['FLORIDA CIVIL DIVISION']
