center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 0. 14.  0.  0.  1. 71.  4. 13.],0,0,0,['CARDINAL'],175,1,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['111\\n\\n\\n\\nIN']
[  1.  14.   0.  14.   1.  71.   4. 111.],1,1,1,['WORK_OF_ART'],175,1,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['THE CIRCUIT COURT OF THE FOURTH JUDICIAL']
[ 2. 14.  0. 10.  1. 71.  4. 43.],2,2,0,['PERSON'],175,2,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['CIRCUIT\\n\\n\\n\\nIN']
[ 2. 14.  0. 10.  1. 71.  4. 43.],2,3,1,['ORG'],175,2,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['DUVAL COUNTY']
[ 4. 14.  0. 10.  1. 71.  4. 63.],3,4,0,['PERSON'],175,1,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['FLORIDA 2\\n\\n\\n\\nIN RE']
[ 5.  2. 24.  9. 40. 52. 13. 73.],4,5,0,['ORG'],175,1,['TOBACCO LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION                                DIVISION:  '],[24],['LITIGATION\\n\\n\\n\\nTOBACCO LITIGATION']
[ 6.  3. 35.  0.  0.  0.  3. 12.],5,6,1,['CARDINAL'],175,1,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['1118']
[ 7.  3. 35. 10.  0.  0.  3. 72.],6,7,1,['PERSON'],175,1,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['LINDA PRENTICE']
[ 8.  3. 35. 11.  0.  0.  3. 14.],7,8,0,['PHONE_NUMBER'],175,1,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['118 1211']
[ 9.  9. 44.  9. 46. 70. 26. 94.],8,9,0,['ORG'],175,1,['as Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase'],[44],['Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase']
[10.  0. 54.  9. -1. 39. 17.  0.],9,10,1,['ORG'],175,1,['No:   '],[54],['  ']
[11.  3. 57.  0.  2.  1. 14. 15.],10,11,1,['CARDINAL'],175,1,['16-2007-CA-011551-DXXX-MA\\n\\n\\n\\n16'],[57],['16-2007-CA-011551-DXXX']
[13.  9. 62.  1.  3.  2.  7. 17.],11,12,1,['CARDINAL'],175,3,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['17']
[13.  9. 62.  1.  3.  2.  7. 17.],11,13,2,['DATE'],175,3,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['18 19 20 21 22 23 24']
[13.  9. 62.  1.  3.  2.  7. 17.],11,14,2,['CARDINAL'],175,3,['17 18 19 20 21 22 23 24 25\\n\\n\\n\\nTRIAL BEFORE'],[62],['25\\n\\n\\n\\nTRIAL']
[15.  7. 72.  1. 14. 51. 23. 66.],12,15,1,['DATE'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['Friday']
[ 16.   7.  72.   1.  14.  51.  23. 106.],13,16,1,['DATE'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['September 16']
[17.  7. 72. 13. 14. 51. 23. 38.],14,17,1,['TIME'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['8:15 a.m.']
[18.  7. 72.  0. 14. 51. 23. 11.],15,18,1,['CARDINAL'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['10:40']
