center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,0,0,['PERSON'],1,76,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],"['b""Page 111\\n\\n\\n\\nIN']"
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,1,0,['PERSON'],1,76,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['CIRCUIT\\n\\n\\n\\nIN']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,2,1,['ORG'],1,76,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['DUVAL COUNTY']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,3,2,['PERSON'],1,76,"['b""Page 111\\n\\n\\n\\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\\n\\n\\n\\nIN AND FOR DUVAL COUNTY, FLORIDA 2\\n\\n\\n\\nIN RE:  ENGLE PROGENY CASES      ']",[0],['ENGLE']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,4,3,['PERSON'],1,76,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['LINDA PRENTICE']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,5,3,['PHONE_NUMBER'],1,76,"['1118 - 1211\\n\\n\\n\\nPertains to:  LINDA PRENTICE,']",[35],['118 1211']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,6,4,['PERSON'],1,76,['as Personal Representative of the Estate of JOHN C. PRICE\\n\\n\\n\\nCase'],[44],['JOHN C.']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,7,4,['ORG'],1,76,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['TYRIE W. BOYER\\n\\n\\n\\nDATE']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,8,5,['ORG'],1,76,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['   Friday']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,9,6,['ORG'],1,76,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],['Duval County']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,10,7,['ORG'],1,76,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Terry T. Hurley']
[ 46.   4. 644.   0.  13.  39.  33.  47.],0,11,7,['ORG'],1,76,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK']
